"""Pretender""",Steve Aoki,"[AJR:] I'm a good pretender Won't you come see my show? (Won't you come see my show?) I've got lots of problems Well, good thing nobody knows (Good thing nobody knows)  Oh, I'm insecure, I'm insecure I think I like what I'm supposed to Like what I'm supposed to I don't even mess with drugs I do that 'cause you say it's dope to You say it's dope to  I'm a good pretender I'm not really cool I'm a good pretender 'Cause I'm just like you I do not belong here You all clearly do But I'm a good pretender So I'm just like you  I'm a good pretender I'm a good pretender  [Lil Yachty:] Steve Aoki Lil Boat I look happy in every picture Just so you'd think I am I never say no to pictures 'Cause that's just the person I am In high school, I was tryna figure myself out I was tryna be just like him (okay) Tryna do things I don't usually do (why?) I'm pretending to be too cool I wish my mother had more sons I wish my friends were my brothers I wish my ex-girlfriend didn't cheat, she pretended to be my lover In front of the camera screen I make it look just like a movie scene Diamonds on my hand, call me Lord of The Rings Still insecure behind the scenes, though  [AJR:] Oh, I'm insecure, I'm insecure I think I like what I'm supposed to Like what I'm supposed to I don't even mess with drugs I do that 'cause you say it's dope to You say it is dope to  [AJR & Lil Yachty:] I'm a good pretender I'm not really cool (okay) I'm a good pretender (yah) 'Cause I'm just like you (you) I do not belong here (no) You all clearly do But I'm a good pretender 'Cause I'm just like you  [AJR:] I'm a good pretender I'm a good pretender  I'm just like you, do you like me too? Now I'm just like you I'm a good pretender"
"""Semenit Waktu""",ADA Band,Dipelukanku terakhir kali Kau katakan cinta Putih dan suci engkau persembahkan Seperti janji manis  Bila malam menjelang Ingin ku hitung lagi Segala jumlah bintang Yang bersinar di wajahmu  Akhirnya semua telah berakhir Bagai mimpi buruk Menerjang ruang batin hidupku Tak berperasaan  Kudiam tertegun Menatap pilu dirimu Yang begitu indah  Dunia serasa mati Hilang semangat hidup Aku rindu padamu Aku teramat sayang Jika ini takdirku Bolehkah kuberharap Semenit waktu ingin Kubalas kata cinta  Harusnya kuberlari Mengejar kepergianmu Takkan terulang Kisah dua anak manusia  Dunia serasa mati Hilang semangat hidup Aku rindu padamu Aku teramat sayang Jika ini takdirku Bolehkah kuberharap Semenit waktu ingin Kubalas kata cinta  Dipelukanmu terakhir kali
"""Warp Speed (Outro)""",Steve Aoki,"The neon future is entirely unpredictable, except for one thing And before you know it, the neon future will be the past"
"""Haruskah Kumati""",ADA Band,Bagaimana mestinya Membuatmu jatuh hati kepadaku? Telah kutuliskan sejuta puisi Meyakinkanmu membalas cintaku  Haruskah kumati karenamu Terkubur dalam kesedihan sepanjang waktu? Haruskah kurelakan hidupku Hanya demi cinta yang mungkin bisa membunuhku? Hentikan denyut nadi jantungku Tanpa kau tahu betapa suci hatiku Untuk memilikimu  Adakah keikhlasan Dalam palung jiwamu mengetukku? Ajarkanmu bahasa perasaan Hingga hatimu tak lagi membeku  Haruskah kumati karenamu Terkubur dalam kesedihan sepanjang waktu? Haruskah kurelakan hidupku Hanya demi cinta yang mungkin bisa membunuhku? Hentikan denyut nadi jantungku Tanpa kau tahu betapa suci hatiku Untuk memilikimu  Tiadakah ruang di hatimu untukku Yang mungkin bisa 'tuk kusinggahi? Hanya sekedar penyejuk di saat kulayu 'Ku selalu menantimu Hingga akhir masa  Haruskah kumati karenamu Terkubur dalam kesedihan sepanjang waktu? Haruskah kurelakan hidupku Hanya demi cinta yang mungkin bisa membunuhku? Hentikan denyut nadi jantungku Tanpa kau tahu betapa suci hatiku Untuk memilikimu
"""Champagne Supernova""",OneRepublic,"How many special people change? How many lives are living strange? Where were you while we were getting high?  Slowly walking down the hall Faster than a cannonball Where were you while we were getting high?  Someday you will find me Caught beneath the landslide In a champagne supernova in the sky Someday you will find me Caught beneath the landslide In a champagne supernova A champagne supernova in the sky  Wake up the dawn and ask her why A dreamer dreams, she never dies Wipe that tear away now from your eye  Slowly walking down the hall Faster than a cannonball Where were you while we were getting high?  Someday you will find me Caught beneath the landslide In a champagne supernova in the sky Someday you will find me Caught beneath the landslide In a champagne supernova A champagne supernova  'Cause we don't believe That they're gonna get away from the summer But you and I will never die The world's still spinning around we don't know why Why-why-why-why-i-i  How many special people change? How many lives are living strange? Where were you while we were getting high?  Slowly walking down the hall Faster than a cannonball Where were you while we were getting high?  Someday you will find me Caught beneath the landslide In a champagne supernova in the sky Someday you will find me Caught beneath the landslide In a champagne supernova A champagne supernova  'Cause we don't believe That they're gonna get away from the summer But you and I will never die The world's still spinning around we don't know why Why-why-why-why-i-i  How many special people change? How many lives are living strange? Where were you while we were getting high? We were getting high"
"""I Believe In A Thing Called Love""",Delta Goodrem,"Can't explain all the feelings that you're making me feel My heart's in overdrive and you're behind the steering wheel  Touching you, touching me Touching you, God, you're touching me  I believe in a thing called love Just listen to the rhythm of my heart There's a chance we could make it now We'll be rocking till the sun goes down I believe in a thing called love  I wanna kiss you every minute, every hour, every day You got me in a spin but everything is okay  Touching you, touching me Touching you cause you're touching me  I believe in a thing called love Just listen to the rhythm of my heart There's a chance we could make it now We'll be rocking till the sun goes down I believe in a thing called love  Touching you, touching me Touching you good, you're touching me  I believe in a thing called love Just listen to the rhythm of my heart There's a chance we could make it now We'll be rocking till the sun goes down I believe in a thing called love I believe in a thing called love Just listen to the rhythm of my heart There's a chance we could make it now We'll be rocking till the sun goes down I believe in a thing called love"
"""Afraid""",Vanessa Hudgens,"Just when it's getting good I slowly start to freeze Just when it's feeling real I put my heart to sleep It's the memory I can see Then this fear comes over me Understand that I don't mean To push you away from me  [Chorus] Why am I so afraid to crash down and lose my heart again I don't know, I can't see, what's come over me Why am I so afraid to break down and lose my mind again I don't know, I can't see, what's come over me  You got a way of easing me out of myself I can't stay but I can't leave, I am my worst enemy Please understand that its not you it's what I do Just when I'm about to run I realize what I've become  [Chorus] Why am I so afraid to crash down and lose my heart again I don't know, I can't see, what's come over me Why am I so afraid to break down and lose my mind again I don't know, I can't see, what's come over me  Now I wonder what you think of me Don't kow why I break so easily All my fears are armed surrounding me I can't get no sleep I keep runnin in circles around you Are you the trap I wanna fall into??  [Chorus] Why am I so afraid to crash down and lose my heart again I don't know, I can't see, what's come over me Why am I so afraid to break down and lose my mind again I don't know, I can't see, what's come over me"
"""Manusia Bodoh""",ADA Band,Dahulu terasa indah Tak ingin lupakan Bermesraan selalu jadi Satu kenangan manis  Tiada yang salah Hanya aku manusia bodoh Yang biarkan semua ini permainkanku Berulang ulang kali  Mencoba bertahan sekuat hati Layaknya karang yang dihempas sang ombak Jalani hidup dalam buai belaka Serahkan cinta tulus di dalam takdir  Tak ayal tingkah lakumu Buatku putus asa Kadang akal sehat ini Tak cukup membendungnya  Hanya kepedihan Yang selalu datang menertawakanku Engkau belahan jiwa Tega menari indah di atas tangisanku  Mencoba bertahan sekuat hati Layaknya karang yang dihempas sang ombak Jalani hidup dalam buai belaka Serahkan cinta tulus di dalam takdir Tapi sampai kapankah kuharus Menanggungnya kutukan cinta ini  Semua kisah pasti ada akhir Yang harus dilalui Begitu juga akhir kisah ini Yakinku indah  Mencoba bertahan sekuat hati Layaknya karang yang dihempas sang ombak Jalani hidup dalam buai belaka Serahkan cinta tulus di dalam takdir Tapi sampai kapankah kuharus Menanggungnya kutukan cinta ini Bersemayam dalam kalbu
"""Avenue""",Agnes Obel,"What is wrong at the end of the day What is really wrong no one dares to say You know you're wrong when there's only one right but what is wrong when right is out of sight  Right rode away long ago Before rescuing wrong from below I might be mistaken, I know but hey we need to be somewhat  Foolish, feebleminded, wrong and senseless Right rode off long ago, there's nothing more you need to know, there's nothing more you need to show, Let us disagree cause wrong was made, for you to be  What is false when we can't hear no more And there is nothing to cover for What is wrong in this old wasted game May right and wrong be one and the same  Right rode away long ago Before rescuing wrong from below I might be mistaken, I know but hey we need to be somewhat  Foolish, feebleminded, wrong and senseless Right rode off long ago, there's nothing more you need to know, there's nothing more you need to show, Let us disagree cause wrong was made, for you to be"
"""Kaulah Kesukaanku""",ADA Band,"Temukanmu dalam nyata Tiada pernah aku bayangkan Jalan hidup penuh misteri Untuk aku sang pengagum cinta  Suka kamu apa adanya Memandang tulus hangat sebuah cinta Mempesona menyenangkan Bukan polesan, jujur dari hati  Bilakah semua berkenan kepadamu Memohon restu bumi di hadapmu  Kaulah kesukaanku dan juga kesedihanku Kemarahanku, kau kesenangan sejati hatiku Kaulah kekuatanku dan juga kelemahanku Masa depanku, kau kesayangan hidupku  Ku suka kamu apa adanya Memandang tulus hangat sebuah cinta Mempesona menyenangkan Bukan polesan, jujur dari hati  Bilakah semua berkenan kepadamu Memohon restu bumi di hadapmu  Kaulah kesukaanku dan juga kesedihanku Kemarahanku, kau kesenangan sejati hatiku Kaulah kekuatanku dan juga kelemahanku Masa depanku, kau kesayangan hidupku  Kaulah kesukaanku, kaulah kesedihanku Kaulah kekuatanku dan juga kelemahanku Kaulah kesukaanku, kaulah kesedihanku Untuk aku sang pengagum cinta  Kaulah kesukaanku dan juga kesedihanku Kemarahanku, kau kesenangan sejati hatiku Kaulah kekuatanku dan juga kelemahanku Masa depanku, kau kesayangan hidupku  Kaulah kesukaanku dan juga kesedihanku Kemarahanku, kau kesenangan sejati hatiku Kaulah kekuatanku dan juga kelemahanku Masa depanku, kau kesayangan hidupku"
"""Sweet Savage""",Haley Smalls,"You might think I'm an angel That fell from the heavens Your sweetest obsession, babe But what will you say when You see the side of me That you couldn't see, babe A little sin under a smile you're A little naive because you're not sure It won't be long before you realize You didn't know but you gon' see I'm  A sweet little savage I'm the only one that can show you the other side So bitter sweet Like a charm Works every time babe Cuz you can't leave Your sweet little savage It's okay Can we take a ride On the wild side Sweet little savage Take a ride with me You won't regret it baby  Like an apple you can eat it The sweetest Still its so deceiving But it's too good you can't leave it You won't see it coming Hate it but you love it Ain't that what you wanted baby Got you seeing double baby Cuz like a Gemini I got two sides Make you question everything you knew I'm  A sweet little savage I'm the only one that can show you the other side So bitter sweet Like a charm Works every time babe Cuz you can't leave Your sweet little savage It's okay Can we take a ride On the wild side Sweet little savage Take a ride with me You won't regret it baby  Sweet little savage I'm the only one that can show you the other side So bitter sweet Like a charm Works every time babe Cuz you can't leave Your sweet little savage It's okay Can we take a ride On the wild side Sweet little savage Take a ride with me You won't regret it baby"
"""Stem The Loss""",Further Seems Forever,"Stem the loss by the grease Turn the screw , burn the sheets Can't find the frame looking rounds Brand the grain ground on ground Stem the loss by the grease  We've got no force to wild We've better believe in something now We've got no source to triumph We've better believe in something now We've got tantrum on the world We've better believe in something now  Bend the lines raise the stones Burn the vines set the bombs Tape the scenes water tide Lay the beam measure right Start the search till they found See to see, sound on sound Stem the loss by the grease Stem the loss by the grease  We've got no force to wild We've better believe in something now We've got no source to triumph We've better believe in something now We've got tantrum on the world We've better believe in something now We've got We've gotta believe in something We better believe in something now We better believe in something now  Stem the loss by the grease Turn the screw , burn the sheets Stem the loss by the grease Stem the loss by the grease"
"""Panic Attack 2021 (It's Gonna Be Alright)""",Brian May & Kerry Ellis,"(Panic attack, attack, attack, attack, attack...)  I can't get my breath Pain beatin' in my chest I got nothin' left Kinda feels like life or death  I got a panic in me If I'm taken how will it be I need to be with my family But we've gotta hold on...  It's gonna be all right It's gonna be all right Somehow it's gonna be all right Stop and breathe Stop and breathe  It's gonna be all right It's gonna be all right Somehow it's gonna be all right It's 2021 – and we have to believe  (Panic attack, attack, attack, attack, attack...)  Flush on my face Desperate for a better place Keep thinkin' this can't go on I look around and everything's wrong  Now the fear speaks loud I see the danger in every crowd I feel a chill when I turn around Can't feel no solid ground Hold on, hold on!  It's gonna be all right, mm... It's gonna be all right Somehow it's gonna be all right Stop and breathe Stop and breathe  It's gonna be all right Yeah, it's gonna be all right Somehow it's gonna be all right It's a crazy war but we have to believe  I feel like I'm falling The world is destroyed As we hurl ourselves into the void  But angels are calling I know as we're falling By a miracle they'll catch us when we fall...  Hold on tight, gotta hold on tight Cos 2021's gonna be all right!  It's gonna be all right It's gonna be all right Somehow it's gonna be all right Stop and breathe Stop and breathe Stop! (And breathe)  It's gonna be all right, yeah It's gonna be all right We're gonna live We're gonna feel no fear We're still gonna have that Happy New Year!"
"""Oh Lord, What Do You Know?""",Gregor Barnett,"Feelin' like the color of Monday Like a deer on the side of the highway Like a love letter returned to sender A phone number you can't remember  Oh Lord, what do you know? Is it too late to save my soul? Show me a sign, throw me a bone Oh Lord, what do you know?  Feelin' like a penny on a railroad track Like a runaway train that ain't ever coming back Like a prayer unanswered, a song unsung A foreign language spoken by no one  Oh Lord, what do you know? Is it too late to save my soul? Show me a sign, throw me a bone Oh Lord, what do you know?  Like a 58'er in a Soviet Gulag Penning a posthumous epilogue Like the tears of the Komsomol girl Lost in a collective world Like a Patriarch Ponds decapitation Like a stray dog strapped in a spaceship With nowhere to run, nowhere to go Oh Lord, what do you know?  Feelin' like the color of Monday Like a deer on the side of the highway Like a love letter returned to sender A phone number you can't remember  Oh Lord, what do you know? Is it too late to save my soul? Show me a sign, throw me a bone Oh Lord, what do you know?  Oh Lord, what do you know? Is it too late to save my soul? Show me a sign, throw me a bone Oh Lord, what do you know? Oh Lord, what do you know? Oh Lord, what do you know?"
"""Ramadan (Malay/Bahasa Version)""",Maher Zain,"Ku menantimu saban waktu Bangkit jiwaku Kau suluh hatiku Dengan sinar kudus kasihmu  Kuharapkan terus bersamamu Selamanya  Ramadan, Ramadan Ramadan di hati Ramadan, Ramadan  Kumohon usah pergi Rahmat melimpah Damainya kurasakan Ramadan bulan Al-Quran Mendidik jiwaku, menyuburkan iman  Kuharapkan terus bersamamu Selamanya  Ramadan, Ramadan Ramadan di hati Ramadan, Ramadan Kumohon usah pergi  Sememangnya kau kunantikan Hadirmu hidupkan suram di jiwaku Dan ku berjanji akan kuteruskan Semangatmu itu Sepanjang hidupku Oh, Ramadan  Ramadan, Ramadan Ramadan di hati Ramadan, Ramadan Kumohon usah pergi  Ramadan, Ramadan Ramadan di hati Ramadan, Ramadan Kumohon usah pergi Kumohon usah pergi"
"""Love Token""",Brian May,"Mama's in love, Papa's in love It's such a shame they don't love each other papa's in a jam, Mama's throwin' pans The game's up - it's time to run for cover  Everybody's cryin' but they can't stop hopin' Everybody's lookin' for the door that's open Mama's making heat to keep the old fire smokin' Papa's hangin' on to his old love token.  You got love but you ain't got style You want your freedom but in a while You're lost children but you know for sure You gotta find out what your love is for.  (Oh baby life ain't what it used to be) (You're tellin' me - not since you 'been hangin' round here) (Mama what you screamin' for actin' like a demon for And hey mama quit wavin' them hands in the air) (Don't talk to me that way) (Well I don't see no reason to raise your voice to me) (You put fat in the fire you got meat for brains) (Well you don't give me comfort and a Man's gotta get it somewhere) (Ooh that's a shame) (Yeah, well......) Mama's hangin' on to every word that's spoken But Papa's hangin' onto his old love token  Oh I don't wanna leave you Mama Oh I don't wanna leave you Papa  Long haired women gonna turn you to stone You can't beat 'em - cos you need 'em You gotta live - you gotta love Your love token's gotta fit like a glove  Listen to the story 'bout the dream that's broken You gotta keep a hold of your old love token  Oh I don't wanna leave you Mama Oh I don't wanna leave you Papa No I don't wanna leave you alone But I'm gonna have to Babe"
"""Skoal Ring""",Gretchen Wilson,Don't need no diamond ring Don't want a bunch of bling bling The only thin I really need Is a man with a SKOAL Ring Don't have to be wined and dined We can stay home every night I can do without anything Except a man with a SKOAL Ring  He works a ten-hour shift and comes home right on time He don't complain a bit when I get out of line He ain't rich and he might have a little dirt on his hands But that worn-out circle on his jeans makes him my kind of man  Don't need no diamond ring Don't want a bunch of bling bling The only thin I really need Is a man with a SKOAL Ring  I've always been a bandit girl and he's a long-cut man Somehow we still get along with different-colored cans When that boy comes home from work smellin' like the farm That berry blend on his lips still turns me on  Don't need no diamond ring Don't want a bunch of bling bling The only thin I really need Is a man with a SKOAL Ring Don't have to be wined and dined We can stay home every night I can do without anything Except a man with a SKOAL Ring  Don't need no diamond ring Don't want a bunch of bling bling The only thin I really need Is a man with a SKOAL Ring Don't have to be wined and dined We can stay home every night I can do without anything Except a man with a SKOAL Ring  The one thing that gets to me is a man with a SKOAL Ring
"""Preacher""",OneRepublic,"When I was a kid I used to buy and sell gravity I knew how to fly, and I would teach you for a fee Broke every window in my hotel heart When I was only five years old but twelve years scarred And I'd hear the same voice echo in my mind It'd say, ""Son, you've got an angel."" That'd chase the devil at night  When I was a kid my grandfather was a preacher He'd talk about God, he was something like a teacher He said, ""God only helps those who learn to help themselves"" He was a million miles from a million dollars But you could never spend his wealth  I took a little faith, and put it in a parking lot I drove to a strange town full of ""have"" and ""have nones"" And as I walked through that story-book life I've been looking for an angel who'd chase the devil at night  When I was a kid my grandfather was a preacher He'd talk about love, he was something like a teacher He said, ""God only helps those who learn to help themselves"" He was a million miles from a million dollars But you could never spend his wealth  Wave, put your hands up and hands down Wave, put your hands up and hands down Wave, put your hands up and hands down  When I was a kid my grandfather was a preacher He'd talk about life, he was something like a teacher He said, ""God only helps those who learn to help themselves"" He was a million miles from a million dollars But you could never spend his wealth  He was a million miles from a million dollars But you could never spend his wealth"
"""Can We Go Back""",Aaradhna,"Remember the days when we used to chill We didn't have a care in the world We used to laugh together Blaze it up and walk 'round the creek  Reminiscing on the time When we used to skip class together I could never forget ooooh Never forget my good friends  Can we go back? I wanna go back Take me back to the day when we used to play Can we go back? I wanna go back Take me back to the day when we used to play  He-e-ey. Oooh. Take me back, take me back oh yeah Yeah Oh!  Summertime, weather was hot as hell I swear it ain't hot like it used to be Back then the music was fire Why did I had to go leave and retire?  Reminiscing on the time When things were much better way back then I could never forget uh Never forget the time spent oh oh  Can we go back? I wanna go back Just for a moment, a moment back in time Can we go back? I wanna go back Take me Can we go back? I wanna go back When we were so young and our hearts would run free Can we go back? I wanna go back  I heard it's foolish to say That things were better back in the day But I swear it ain't the same You know that I gotta roll with the change  But can we go back? Just one time You and I Can we go back?  Can we go back? I wanna go back Take me back just one time Can we go back? I wanna go back Can we? Can we go back? I wanna go back When we were so young oh oh oh Can we go back? I wanna go back Can weeeee?  Woaahhhhhhhh oh oh oh oh oh oh oh"
"""For All We Know""",Further Seems Forever,"All that you thought you'd never have You hold in your hands All that you thought you'd never love Iis right here above you It's cruel  All that you thought would disappear Is waiting right here And all that you hold deep in your soul Can never be sold  For all we know, these days are all numbered, But things could get better I know, Cause I'll be the first and the last one to go, Lord it's a cruel, cruel world For all we know, These days are all numbered And things will get better I hope, Cause I'll be the first and the last one to go, Lord it's a cruel, cruel world without love  It's a cruel, cruel world without love"
"""Back Into The Land Of Light""",Freedom Call,"We are back We are back Into the glorious land of light  In the distance there's a light Leads us through the misty night  Until the end we believed there's something golden  The glory day has begun, we're on our way, we're on the run To the place, to the promised land of deliverance  Back to the light  See the tears in my eyes, reflecting new life Heard all my cries, oh I will be there We're longing for the time we're going back  Back to the land of light Where the angels of tomorrow are sending out a sign of victory  We climb the stairs up, we're coming home To the source of life, to our pleasure dome The reason to believe, the answer to everything  More than ever, when worlds collide Overwhelmed and full of pride Open the gate to heaven, divine, oasis and paradise  Back to the light  See the tears in my eyes, reflecting new life Heard all my desperate cries, oh I will be there We're longing for the time we're going back  Back to the land of light Where the angels of tomorrow are sending out a sign of victory Back to the land of light Where the legendary eagle has landed as the eternal sign  We are back We are back Back to the light  Goin' back, back to the land of light Where the angels of tomorrow are sending out a sign of victory Back to the land of light Where the legendary eagle has landed as the eternal sign  We are back Back to the light"
"""Let It Be Me""",Steve Aoki,"Wait, don't speak Don't wanna hear all your warnings Don't care what happened before me Wait, don't leave Nothing that's easy is worth it And nothing that's worth it is perfect, yeah  I been thinking to myself, to myself I want you all to myself, no one else Even if it gives me hell, baby I would take it all for ya  If you're gonna hurt someone, then let it be me If you're gonna break my heart, I'm ready to bleed Even if it kills me, oh, I'm begging you, please If you're gonna hurt someone, then let it be me  Oh, let it be me (Oh, let it be me) Oh, let it be me (Oh, let it be me) Let... Oh, let it be me Let it, let it be me Oh, let it be me Let it, let it be me Oh, let it be me  If we fall Then you can blame it all on me Don't have to tell me you're sorry It's your call Whether you leave or you take me I'm still gonna want you like crazy, yeah  I've been thinking to myself, to myself I want you all to myself, no one else Even if it gives me hell, baby I would take it all for ya  If you're gonna hurt someone, then let it be me If you're gonna break my heart, I'm ready to bleed Even if it kills me, oh, I'm begging you, please If you're gonna hurt someone, then let it be me  Oh, let it be me (Oh, let it be me) Oh, let it be me (Oh, let it be me) Let... Oh, let it be me Let it, let it be me Oh, let it be me Let it, let it be me Oh, let it be me  I been thinking to myself I want you and no one else, oh-whoa Even if it gives me hell, baby I would take it all for you  If you're gonna hurt someone, then let it be me (Ooh) If you're gonna break my heart, I'm ready to bleed Even if it kills me, oh, I'm begging you, please (I'm begging you, please) If you're gonna hurt someone, then let it be me  (Oh, let it be me, me, me) Oh, let it be me Let it, let it be me (Let it be me, me, me) Oh, let it be me Let it, let it be me Oh, let it be me Let it, let it be me (Oh-oh) Oh, let it be me (Me, me, me) Let it, let it be me (yeah) Oh, let it be me  Oh, let it be me Oh, let it be me Oh, let it be me Oh, let it be me"
"""For The Very First Time""",Bobby Goldsboro,"Anywhere that you go I'll follow along I'd be a fool to keep on singin' my own song I never thought about love up until now I guess it's time I started learnin' how  You smiled at me and ""give in"" swelled inside my mind For the very first time I thought of lovin' things I want them to be yours and mine For the very first time I find myself in love ""Ain't no such thing as always"" I used to say But now that I've found you, here is where I'll always stay You know how much I need you, I know myself I'd rather miss you, darlin', than be with someone else  Anywhere that you go I'll follow along Anywhere that you go I'll follow along"
"""Thank You Very Much""",Steve Aoki,"I just want to thank you, the haters You done got me paper and I thank you all my haters You done did a nigga plenty favors I thank you can't you tell I love them haters  Ay first off let me check in to the flight She want all this money she don't need to know my name Ok now I get the cash I get it fast I hit and dash I don't love that ass I put that work in so I deserve it I put that work in you see me working yeah Pride over profit nigga Came from the bottom we ain't stoppin' nigga  Now we done came up to stay up Lets thank these haters who made us Wanna get some paper I thank you Now I'm having acres it's great bust  I just want to thank you, the haters You done got me paper and I thank you all my haters You done did a nigga plenty favors I thank you can't you tell I love them haters yeah  Man I love them haters Man I love them haters Man I love them haters Can't you tell I love them haters yeah Man I love them haters Can't you tell I love them haters yeah Can't you tell I love them haters yeah  Now we done came up to stay up Lets thank these haters who made us Wanna get some paper I thank you Now I'm having acres it's great bust  I just want to thank you, the haters You done got me paper and I thank you all my haters You done did a nigga plenty favors I thank you can't you tell I love them haters yeah  Man I love them haters Man I love them haters Man I love them haters Can't you tell I love them haters yeah Man I love them haters Can't you tell I love them haters yeah  Now we done came up to stay up Lets thank these haters who made us Wanna get some paper I thank you Now I'm having acres it's great bust  I just want to thank you, the haters You done got me paper and I thank you all my haters You done did a nigga plenty favors I thank you can't you tell I love them haters yeah  Can't you tell I love them haters yeah"
"""One Voice""",Brian May & Kerry Ellis,"This is the sound of one voice One spirit, one voice The sound of one who makes a choice This is the sound of one voice This is the sound of one voice  This is the sound of voices two The sound of me singing with you Helping each other to make it through This is the sound of voices two This is the sound of voices two  One voice  This is the sound of voices three Singing together in harmony Surrendering to the mystery This is the sound of voices three This is the sound of voices three  (Everybody...) This is the sound of all of us Singing with love and the will to trust Leave the rest behind it will turn to dust This is the sound of all of us This is the sound of all of us  One voice  This is the sound of one voice One spirit, one voice The sound of one who makes a choice This is the sound of one voice This is the sound of one voice"
"""Teen Spirit""",Haley Smalls,"Still hungover when I roll out of bed I drank enough to get my mind off of you yeah And all your messages went over my head I'm feeling like I got no heart in my chest You're 2 timing I can see it in your face You're a liar Ain't no words left to say So be quiet And just burn with the flame Hope you feel it When you get put in your place Cuz I'm out Aye tell me how you feel When I never call Looking like a meal Chillin' with my friends Don't come over here I'm not throwing shade I'm just being real I'm out, I'm out Your friends can keep talking So what, so what Fuck y'all then fuck y'all I'm out, I'm out Your friends can keep talking So what, so what Fuck ya'll then  You won't ever see me again but I just had to let you know I knew we were gone with the wind but I just had to let it blow Wish I would've done you the same way But I had to let it go You won't ever see me again but I just had to let you know I just wanna let you know  I'm just fine It don't bother me You just do your thing Just don't talk to me I fell in love with my checks Yeah they don't fight with me No they don't lie to me Aye So take a snapshot I'll be in my drop top Smoking one, two, trees Yeah while I cough, cough So now you wanna cry for me Cuz you got caught, caught Oh now you want me so bad Oh nigga just stop, stop I know now I see all of you now With no doubt I got over you I dropped out So you're dead to me So tap out Don't keep calling me I'm out, I'm out Your friends can keep talking So what, so what Fuck y'all then fuck y'all I'm out, I'm out Your friends can keep talking So what, so what Fuck ya'll then  You won't ever see me again but I just had to let you know I knew we were gone with the wind but I just had to let it blow Wish I would've done you the same way But I had to let it go You won't ever see me again but I just had to let you know I just wanna let you know"
"""I Do It""",Gorilla Zoe,"I do it I do it I do it  I-I-I-I do it for the city, yeah I do it for the hood I do it for the streets, let's just get this understood I do it I do it I do it I do it  Minaj every night dawg, what I need a bitch for? Iced out automa, what I need a wrist for? Four or five cars, what I need another whip for? Bricks in the trap, shawty tell me what they headin' for (For what?) What they headin' for? (For what?) Twenty bricks of blow (For what?) Twenty dollar bricks (For what?) Twenty dollar show (For what?) Twenty thousand more (For what?) Twenty at the ball (For what?) Imma blow it all (For what?) All I do is ball What? What? What? What? Tell me what you do it for (For what?) Blow it at the club What you think I do it for? (For what?) Blow it in the mall What you think I do it for? (For what?) Blowin' up some broads What you think I do it for?  I do it for the city, yeah I do it for the hood I do it for the streets, let's just get this understood I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it (I do, I do, I do) I do it for my niggas, gettin' money every day And I do it for the haters, they can hate me, its okay I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it  Overworked, we lockin' up, what we need a jail for? And we do it and rep the blocks, what we need a scale for? And I pay the lawyers off, what I need to tell for? Everything is automatic, what I need a shell for? (For what?) For me to catch a charge (For what?) So you can tell on me (For what?) So they can cut your time (For what?) To play me off the streets (For what?) So they can take my chains (For what?) Try to take my fame (For what?) Etch me from the game (For what?) Play me like a lame What? What? What? What? Tell me what you do it for (For what?) Just 'cause I'm a boss W-What you think I do it for? (For what?) 'Cause we ain't foldin', no What you think I do it for? (For what?) 'Cause I can't take no loss W-What you think I do it for?  I do it for the city, yeah I do it for the hood I-I-I do it for the streets, let's just get this understood I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it (I do, I do, I do) I do it for my niggas, gettin' money every day And I do it for the haters, they can hate me, its okay I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it  I do it I do it I do it  I-I I do it for the city, yeah I do it for the hood I-I-I do it for the streets, let's just get this understood I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it (I do, I do, I do) I do it for my niggas, gettin' money every day And I do it for the haters, they can hate me, its okay I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it (I do, I do) I do it"
"""Voodoo Woman""",Bobby Goldsboro,"You make a rose afraid to grow You make a wind forget to blow You make the sun up in the sky forget to shine And you are driving me out of my mind, now  You make a bell forget to ring You make a bird forget to sing You make a weeping willow tree forget to cry And you bring clouds that cover up the sky now  You're a voodoo woman, that's plain to see You're a voodoo woman, so stay away from me  You make a dog forget to growl You make the wind forget to howl And voodoo woman you break every heart you see So voodoo woman stay away from me now  You're a voodoo woman, that's plain to see You're a voodoo woman, so stay away from me  You make a dog forget to growl You make the wind forget to howl And voodoo woman you break every heart you see So voodoo woman stay away from me"
